ItemCodigo;CompetenciaCodigo;UnidadCodigo;ObjetivoCodigo;GradoCodigo;DificultadItemCodigo;ItemOmision;ItemBiserial;ItemDificultad;ItemTRIa;ItemTRIb;ItemTRIc;ItemProbAdmin;AreaCodigo;SubObjetivoCodigo
MAT1000;20;6;34;3;0;0.01;0.47;0.55;3.083;-1.192;0;0.083458;1;71
MAT1001;20;9;0;4;2;0.01;0.45;0.39;2.503;-0.453;0;0.049951;1;0
MAT1002;19;6;44;3;0;0.02;0.41;0.51;0.717;-0.318;0;1;1;111
MAT1003;20;6;34;4;2;0.02;0.32;0.2;0.889;0.696;0;1;1;0
MAT1005;20;6;0;4;3;0.03;0.33;0.31;0.791;-0.014;0;1;1;0
MAT1006;18;6;30;5;0;0;0;0;0.925;2.077;0;1;1;66
MAT1007;18;6;30;3;2;0.01;0.44;0.43;2.03;-1.033;0;0.247005;1;118
MAT1008;18;8;47;3;2;0;0;0;0.386;1.738;0;1;1;133
MAT1009;20;11;41;3;2;0.01;0.34;0.25;0.791;0.587;0;1;1;31
MAT101;19;9;32;3;0;0.01;0.51;0.51;2.807;-1.332;0;0.085255;1;0
MAT1013;19;6;44;4;2;0.01;0.47;0.43;0.757;-0.472;0;1;1;111
MAT1014;20;9;39;5;0;0.02;0.42;0.47;0.397;-1.38;0;1;1;29
MAT1016;20;11;41;3;2;0.01;0.47;0.55;1.666;-1.315;0;0.172999;1;31
MAT1018;20;12;44;3;2;0.01;0.35;0.5;1.112;-1.132;0;1;1;1
MAT1025;18;12;43;5;2;0.01;0.32;0.25;0.712;1.074;0;1;1;8
MAT1026;20;11;41;3;2;0.01;0.37;0.67;1.549;-1.873;0;0.550261;1;31
MAT1027;18;12;43;4;1;0;0.33;0.83;1.661;-1.759;0;0.182162;1;8
MAT1028;18;6;36;6;0;0;0;0;0.49;0.261;0;1;1;76
MAT1029;20;11;41;4;2;0.03;0.35;0.39;1.029;-0.473;0;1;1;31
MAT1032;18;12;43;6;0;0.02;0.39;0.27;1.174;1.085;0;0.763251;1;3
MAT1033;20;11;42;6;0;0.03;0.35;0.44;0.895;-0.08;0;1;1;46
MAT1036;19;9;0;5;2;0.02;0.45;0.51;1.719;-0.682;0;0.122491;1;0
MAT1037;19;9;0;3;0;0.03;0.48;0.18;1.347;0.163;0;0.261902;1;0
MAT1039;20;6;0;4;3;0.03;0.35;0.41;0.627;-0.206;0;1;1;0
MAT1041;20;6;35;5;0;0;0;0;0.575;-0.527;0;1;1;80
MAT1042;18;12;43;5;3;0;0;0;0.751;0.599;0;1;1;8
MAT1047;19;9;0;5;1;0;0;0;1.85;-0.407;0;0.071911;1;0
MAT1048;18;12;43;5;0;0;0;0;0.913;-0.893;0;1;1;8
MAT1049;20;12;44;5;0;0;0;0;0.771;0.58;0;1;1;35
MAT105;18;6;30;3;0;0.01;0.46;0.52;1.594;-1.166;0;1;1;118
MAT1068;20;8;45;6;0;0;0;0;0.968;0.7;0;1;1;121
MAT1069;18;8;48;6;0;0;0;0;0.443;1.84;0;1;1;135
MAT1072;18;8;45;6;0;0;0;0;0.748;1.205;0;1;1;121
MAT1083;18;6;30;6;0;0;0;0;1.352;-0.288;0;1;1;66
MAT1117;18;12;43;6;0;0;0;0;0.893;0.786;0;1;1;8
MAT1118;17;6;34;4;0;0;0;0;0.497;1.159;0;1;1;71
MAT1131;18;8;47;6;0;0;0;0;0.931;1.755;0;1;1;131
MAT1148;18;6;30;6;0;0;0;0;1.413;0.71;0;0.293925;1;61
MAT1169;17;6;0;6;0;0;0;0;0.728;0.933;0;1;1;0
MAT117;18;12;44;3;0;0.02;0.37;0.3;0.936;0.316;0;1;1;91
MAT118;18;12;44;3;0;0.02;0.45;0.36;1.523;-0.797;0;0.180071;1;35
MAT12;18;12;43;6;0;0.02;0.44;0.43;0.933;0.29;0;1;1;6
MAT120;18;12;43;3;0;0.02;0.44;0.36;1.403;-0.253;0;0.150089;1;2
MAT1220;20;8;46;6;0;0;0;0;0.57;0.795;0;1;1;125
MAT123;18;12;43;3;0;0.01;0.47;0.45;1.151;-0.726;0;1;1;8
MAT1270;20;11;41;6;0;0;0;0;0.656;-0.369;0;1;1;31
MAT1271;18;6;35;6;0;0;0;0;1.595;-0.72;0;1;1;82
MAT1292;19;9;32;8;3;0;0;0;1.605;-0.472;0;1;1;56
MAT134;18;8;45;3;0;0.02;0.42;0.33;1.449;-0.415;0;0.181904;1;121
MAT1463;20;12;44;6;2;0;0;0;0.747;-0.726;0;1;1;1
MAT147;18;6;44;3;0;0.02;0.3;0.57;1.03;-1.55;0;1;1;111
MAT149;18;6;44;3;0;0.01;0.47;0.51;1.621;-1.281;0;1;1;111
MAT150;18;6;44;4;0;0.01;0.38;0.29;1.077;-0.112;0;1;1;111
MAT156;19;6;30;3;0;0.01;0.39;0.64;2.193;-1.42;0;0.272505;1;114
MAT16;18;12;43;6;0;0.03;0.38;0.44;0.476;0.179;0;1;1;1
MAT1606;18;6;30;3;2;0;0;0;1.521;-0.51;0;1;1;66
MAT1682;20;12;43;5;0;0;0;0;1.63;-0.817;0;0.080273;1;3
MAT1690;18;8;48;5;1;0;0;0;0.53;-0.568;0;1;1;135
MAT1694;18;8;47;3;0;0;0;0;0.865;0.407;0;1;1;133
MAT1700;18;8;47;3;0;0;0;0;0.994;-0.175;0;1;1;133
MAT1703;17;6;34;6;1;0;0;0;0.718;-0.219;0;1;1;71
MAT1708;18;6;30;4;0;0;0;0;1.609;-1.028;0;1;1;114
MAT1713;20;6;34;3;0;0;0;0;1.704;-1.043;0;1;1;71
MAT1714;18;6;30;3;0;0;0;0;1.55;-0.712;0;1;1;118
MAT1716;18;12;43;5;0;0;0;0;0.888;0.886;0;1;1;6
MAT1717;18;6;35;4;2;0;0;0;0.434;0.917;0;1;1;82
MAT172;20;6;30;3;0;0.02;0.43;0.22;1.319;0.503;0;0.532085;1;66
MAT1725;18;6;44;3;0;0;0;0;1.024;-0.531;0;1;1;111
MAT173;18;6;30;3;0;0.01;0.39;0.38;1.016;-0.089;0;1;1;118
MAT1733;19;12;44;5;0;0;0;0;0.982;0.679;0;1;1;3
MAT1734;18;6;34;4;0;0;0;0;1.91;-0.393;0;0.097975;1;71
MAT1735;18;6;34;5;0;0;0;0;0.737;-0.199;0;1;1;71
MAT1736;18;6;34;3;1;0;0;0;1.083;0.477;0;1;1;73
MAT1755;20;6;34;6;0;0;0;0;0.503;1.74;0;1;1;71
MAT176;18;6;30;4;0;0.02;0.34;0.29;1.184;-0.295;0;1;1;118
MAT1778;20;6;35;6;3;0;0;0;1.133;-0.361;0;1;1;80
MAT1792;18;6;30;3;3;0;0;0;2.08;-1.784;0;0.426005;1;118
MAT1793;20;12;43;3;0;0;0;0;0.662;-1.249;0;1;1;3
MAT1794;17;6;34;3;0;0;0;0;1.398;-1.114;0;1;1;71
MAT1802;17;8;45;4;1;0;0;0;0.811;0.556;0;1;1;122
MAT1835;18;6;34;3;3;0;0;0;1.962;-0.72;0;0.142906;1;71
MAT1838;20;6;34;6;3;0;0;0;1.305;-0.078;0;1;1;71
MAT1845;20;6;34;7;0;0;0;0;0.528;1.775;0;1;1;71
MAT187;17;6;34;3;0;0.02;0.43;0.45;1.489;-0.957;0;1;1;71
MAT1886;18;9;39;6;2;0;0;0;1.018;-1.39;0;1;1;2
MAT191;18;6;34;3;0;0;0.46;0.52;2.233;-1.244;0;0.196522;1;71
MAT1945;20;6;34;3;3;0;0;0;1.562;-1.268;0;1;1;71
MAT1949;18;12;43;3;2;0;0;0;2.773;-0.427;0;0.044094;1;2
MAT1953;20;9;32;3;2;0;0;0;1.327;-0.228;0;0.988381;1;56
MAT1955;19;9;32;3;0;0;0;0;0.387;1.811;0;1;1;56
MAT1958;18;8;45;3;2;0;0;0;1.621;-0.648;0;0.082638;1;123
MAT1965;20;6;35;3;3;0;0;0;1.782;-1.05;0;1;1;80
MAT1966;17;6;34;3;2;0;0;0;1.687;-1.558;0;1;1;71
MAT1967;18;6;30;3;0;0;0;0;3.12;-1.299;0;0.083978;1;118
MAT1969;19;9;32;3;2;0;0;0;1.44;-1.017;0;1;1;56
MAT1972;20;6;34;4;3;0;0;0;1.58;-1.041;0;1;1;71
MAT1973;20;6;35;4;2;0;0;0;3.087;-1.305;0;0.094204;1;80
MAT1974;18;12;43;4;1;0;0;0;0.832;-1;0;1;1;8
MAT1975;20;6;34;4;2;0;0;0;1.268;-0.737;0;1;1;71
MAT1978;18;6;35;4;2;0;0;0;2.993;-0.52;0;0.102293;1;82
MAT1982;20;6;35;5;2;0;0;0;1.124;0.088;0;1;1;80
MAT1985;18;12;43;3;2;0;0;0;1.086;-1.533;0;1;1;2
MAT1987;20;6;35;5;2;0;0;0;1.06;0.369;0;1;1;80
MAT199;20;6;34;3;0;0.01;0.4;0.49;0.738;-1.138;0;1;1;71
MAT1991;17;6;34;6;1;0;0;0;1.165;1.213;0;1;1;72
MAT1995;18;6;30;5;2;0;0;0;1.419;0.079;0;0.339087;1;118
MAT2013;20;6;35;6;0;0;0;0;0.598;-0.408;0;1;1;82
MAT2017;20;9;33;6;1;0;0;0;0.521;-0.088;0;1;1;58
MAT2023;18;6;34;6;2;0.01;0.41;0.65;1.078;-0.612;0;1;1;74
MAT2025;20;6;36;6;1;0.02;0.47;0.32;0.584;2.144;0;1;1;76
MAT2026;18;6;44;3;3;0;0;0;0.784;-1.298;0;1;1;111
MAT2027;18;6;30;3;0;0;0;0;1.481;-0.93;0;1;1;118
MAT2028;17;6;34;3;0;0;0;0;0.709;-1.313;0;1;1;71
MAT2029;20;6;34;3;3;0;0;0;1.298;-1.059;0;1;1;71
MAT2030;20;6;35;3;0;0;0;0;1.495;-0.236;0;0.407932;1;80
MAT2031;18;9;39;3;0;0;0;0;0.976;1.2;0;1;1;2
MAT2032;20;8;47;6;2;0.02;0.47;0.49;2.09;-0.211;0;0.042413;1;130
MAT2034;18;6;34;3;0;0;0;0;1.858;-0.619;0;0.168694;1;71
MAT2036;20;9;32;6;2;0;0;0;1.272;-0.285;0;1;1;56
MAT205;20;6;34;3;0;0.03;0.49;0.37;1.762;-0.653;0;0.253517;1;71
MAT2052;17;6;34;6;3;0.02;0.37;0.51;0.402;-0.311;0;1;1;71
MAT2054;20;8;48;6;2;0.01;0.43;0.28;0.615;0.62;0;1;1;135
MAT2056;20;6;35;6;1;0.01;0.29;0.29;0.75;-0.544;0;1;1;80
MAT2059;19;6;44;3;0;0;0;0;1.041;-1.329;0;1;1;111
MAT206;20;6;34;3;0;0;0;0;1.632;-1.435;1.53;1;1;71
MAT2061;20;6;34;3;3;0;0;0;1.651;-1.628;0;1;1;71
MAT2062;17;6;34;6;1;0.02;0.41;0.35;0.696;0.299;0;1;1;71
MAT2066;19;6;30;3;0;0;0;0;1.566;-0.937;0;1;1;66
MAT2067;18;6;30;3;2;0;0;0;1.227;-0.985;0;1;1;118
MAT2068;20;6;34;3;3;0;0;0;1.91;-1.875;0;0.69408;1;71
MAT2069;18;12;44;3;2;0;0;0;1.599;-1.621;0;0.235104;1;1
MAT2070;18;6;44;3;3;0;0;0;1.14;-0.648;0;1;1;111
MAT2072;19;6;44;3;3;0;0;0;1.274;-1.574;0;1;1;111
MAT2073;20;11;41;3;0;0;0;0;1.191;-0.727;0;1;1;31
MAT2074;20;11;41;3;0;0;0;0;0.932;-0.106;0;1;1;33
MAT2075;18;6;30;3;3;0;0;0;1.616;-1.952;0;1;1;118
MAT2076;20;6;34;3;2;0;0;0;1.472;-1.195;0;1;1;71
MAT2077;20;6;44;3;2;0;0;0;2.299;-1.674;0;0.273613;1;111
MAT2078;18;6;30;3;2;0.01;0.33;0.16;1.573;0.245;0;0.131462;1;66
MAT2079;18;12;43;3;2;0;0;0;1.012;-0.467;0;1;1;8
MAT2081;20;12;43;3;0;0;0;0;0.833;-1.438;0;1;1;8
MAT2083;20;6;30;6;1;0.02;0.4;0.39;0.685;1.717;0;1;1;61
MAT2084;18;12;43;3;0;0.02;0.36;0.25;1.323;0.308;0;0.159122;1;1
MAT2085;18;8;46;6;3;0.01;0.38;0.47;0.458;-1.43;0;1;1;125
MAT2089;18;6;30;6;0;0;0;0;1.224;-1.471;0;1;1;118
MAT2090;20;11;41;3;2;0.01;0.37;0.67;1.854;-1.318;0;0.083149;1;31
MAT2091;18;12;43;3;0;0;0;0;0.971;-0.558;0;1;1;6
MAT2094;18;12;44;6;2;0;0;0;1.172;-0.16;0;1;1;35
MAT2095;18;12;44;6;2;0;0;0;1.484;-0.789;0;0.413762;1;35
MAT2097;20;8;45;3;0;0;0;0;1.153;0.611;0;1;1;124
MAT2099;18;6;44;3;0;0;0;0;1.822;-0.917;0;0.51776;1;111
MAT210;20;9;32;3;0;0.02;0.48;0.58;2.315;-1.375;0;0.121277;1;56
MAT2102;20;6;34;3;3;0;0;0;1.36;-1.279;0;1;1;71
MAT2103;18;9;39;6;2;0;0;0;1.345;-0.198;0;0.564285;1;29
MAT2104;20;11;41;6;2;0;0;0;1.412;-0.991;0;1;1;31
MAT2107;18;12;44;6;0;0;0;0;0.954;0.061;0;1;1;35
MAT2108;20;12;44;6;0;0;0;0;1.221;-0.797;0;1;1;35
MAT2109;18;6;30;6;2;0;0;0;0.798;-0.731;0;1;1;61
MAT2110;18;6;30;6;0;0;0;0;0.881;-0.318;0;1;1;118
MAT2113;20;11;41;6;2;0;0;0;0.952;-0.167;0;1;1;31
MAT2114;20;6;35;6;0;0;0;0;1.301;-0.098;0;1;1;80
MAT2115;18;12;43;6;0;0;0;0;1.118;-0.707;0;1;1;8
MAT2116;20;6;34;3;2;0;0;0;1.886;-1.242;0;0.752588;1;71
MAT2117;20;6;34;3;0;0.01;0.49;0.43;1.143;-0.424;0;1;1;71
MAT2118;18;6;35;3;3;0.03;0.47;0.51;1.569;-1.141;0;1;1;80
MAT2120;18;12;43;3;2;0;0;0;0.772;0.562;0;1;1;8
MAT2122;19;9;32;3;3;0;0;0;2.043;-1.36;0;0.189335;1;56
MAT2124;19;9;32;3;3;0;0;0;1.418;-1.422;0;1;1;56
MAT2125;20;6;35;6;3;0;0;0;1.97;-0.987;0;0.284604;1;80
MAT2126;20;9;32;3;0;0.03;0.48;0.18;1.128;0.932;0;1;1;56
MAT2129;18;12;44;6;2;0;0;0;1.392;-1.418;0;1;1;1
MAT2130;20;6;35;6;1;0;0;0;1.284;-0.61;0;1;1;82
MAT2131;18;8;45;3;2;0;0;0;1.768;-0.772;0;0.05709;1;123
MAT2132;20;6;30;6;3;0;0;0;1.041;-0.493;0;1;1;61
MAT2133;18;6;30;6;3;0;0;0;0.778;0.449;0;1;1;118
MAT2137;20;8;47;3;2;0;0;0;0.9;0.089;0;1;1;134
MAT2141;20;6;34;3;0;0;0;0;1.728;-1.416;0;1;1;71
MAT2151;20;11;41;8;0;0;0;0;0.537;1.68;0;1;1;32
MAT2160;18;6;30;8;0;0;0;0;0.535;1.133;0;1;1;115
MAT2172;20;6;30;3;2;0;0;0;0.727;0.404;0;1;1;66
MAT2173;18;8;47;6;0;0;0;0;1.324;0.177;0;0.217828;1;133
MAT2175;18;12;43;5;0;0;0;0;0.738;-0.079;0;1;1;4
MAT2176;18;6;30;4;2;0;0;0;0.955;-1.241;0;1;1;61
MAT2177;19;6;35;3;0;0;0;0;2.148;-1.191;0;0.249754;1;80
MAT2181;18;6;44;3;3;0;0;0;0.969;0.413;0;1;1;111
MAT2183;18;8;47;4;0;0;0;0;0.765;0.069;0;1;1;129
MAT2185;18;6;35;3;0;0;0;0;1.41;-0.72;0;1;1;80
MAT2186;18;8;47;3;0;0;0;0;1.022;-1.394;0;1;1;129
MAT2187;20;8;46;4;0;0;0;0;0.581;1.504;0;1;1;125
MAT2189;20;6;34;3;2;0;0;0;0.666;-0.878;0;1;1;71
MAT2190;18;6;30;5;0;0;0;0;1.043;0.147;0;1;1;64
MAT2191;20;6;34;3;2;0;0;0;1.555;-0.888;0;1;1;71
MAT2192;18;9;39;6;2;0;0;0;0.57;0.893;0;1;1;29
MAT2193;20;6;35;5;0;0;0;0;1.607;-0.297;0;0.228553;1;80
MAT2194;20;6;30;4;2;0;0;0;0.646;0.068;0;1;1;61
MAT2195;18;11;41;5;0;0;0;0;1.1;-0.191;0;1;1;31
MAT2198;20;6;35;5;0;0;0;0;0.764;-0.916;0;1;1;80
MAT2202;20;6;34;6;0;0;0;0;0.732;1.083;0;1;1;71
MAT2205;18;12;43;3;2;0;0;0;1.563;0.319;0;0.073642;1;8
MAT2206;18;6;44;4;0;0;0;0;0.928;1.023;0;1;1;111
MAT2211;20;8;47;4;2;0;0;0;0.825;0.176;0;1;1;129
MAT2212;18;8;47;5;0;0;0;0;0.412;-0.675;0;1;1;131
MAT2213;20;6;30;6;1;0;0;0;0.982;-0.599;0;1;1;61
MAT2215;18;6;36;4;3;0;0;0;0.87;-0.185;0;1;1;76
MAT2216;18;12;44;4;0;0;0;0;0.615;-2.693;0;1;1;91
MAT2217;20;6;34;5;1;0;0;0;0.877;0.921;0;1;1;71
MAT2218;19;9;32;5;2;0;0;0;0.744;-0.602;0;1;1;56
MAT2219;18;6;30;6;2;0;0;0;1.305;-0.264;0;1;1;118
MAT2222;20;6;34;4;0;0;0;0;0.856;-0.076;0;1;1;71
MAT2223;17;6;34;4;0;0;0;0;4.394;-1.449;0;0.185424;1;71
MAT2224;19;9;32;6;2;0;0;0;1.065;-0.39;0;1;1;56
MAT2225;18;6;35;6;2;0;0;0;0.811;0.105;0;1;1;82
MAT2227;20;6;35;6;2;0;0;0;0.463;2.477;0;1;1;80
MAT2228;17;6;34;3;0;0;0;0;0.585;-0.74;0;1;1;71
MAT2230;18;8;47;4;0;0;0;0;0.302;2.851;0;1;1;134
MAT2231;18;12;43;3;1;0;0;0;1.574;-0.537;0;0.077056;1;8
MAT2232;20;6;34;3;3;0;0;0;2.551;-0.605;0;0.061441;1;71
MAT2233;20;6;30;3;3;0;0;0;2.521;-0.707;0;0.063469;1;61
MAT2235;18;12;43;5;0;0;0;0;0.842;0.654;0;1;1;8
MAT2240;19;9;32;3;2;0;0;0;1.794;-0.915;0;0.137928;1;56
MAT2241;20;6;30;6;1;0;0;0;1.455;-0.121;0;0.474005;1;118
MAT2242;20;12;44;6;0;0;0;0;1.113;-0.146;0;1;1;2
MAT2244;17;6;34;3;2;0;0;0;1.589;-1.082;0;1;1;71
MAT2247;20;6;44;4;0;0;0;0;0.494;-0.103;0;1;1;111
MAT2248;17;6;34;4;0;0;0;0;0.813;-0.406;0;1;1;71
MAT2249;20;9;39;5;0;0;0;0;1.948;-1.363;0;0.218181;1;29
MAT2250;18;6;35;4;0;0;0;0;2.043;-0.288;0;0.076749;1;82
MAT2257;20;6;30;5;1;0;0;0;0.786;1.126;0;1;1;66
MAT2258;17;12;43;5;0;0;0;0;0.726;-1.431;0;1;1;2
MAT2261;19;9;32;3;0;0;0;0;1.628;-1.165;0;1;1;56
MAT2262;18;6;30;3;2;0;0;0;1.84;-0.906;0;0.406699;1;61
MAT2266;19;9;32;3;3;0;0;0;1.77;-1.441;0;0.516102;1;56
MAT2269;19;9;32;3;2;0;0;0;1.278;-0.559;0;1;1;56
MAT2272;19;9;32;3;2;0;0;0;1.407;-1.054;0;1;1;56
MAT2279;18;12;44;3;2;0;0;0;0.749;0.314;0;1;1;1
MAT2281;18;12;44;6;2;0;0;0;0.781;0.859;0;1;1;152
MAT2283;18;6;35;5;0;0;0;0;1.066;0.876;0;1;1;81
MAT2284;20;6;30;4;0;0;0;0;1.092;-0.024;0;1;1;61
MAT2295;18;12;43;4;0;0;0;0;0.575;1.256;0;1;1;2
MAT230;18;6;36;3;0;0.03;0.48;0.37;1.48;-0.217;0;0.496744;1;76
MAT2320;18;12;43;6;0;0;0;0;0.568;-0.317;0;1;1;8
MAT2323;20;6;34;3;0;0;0;0;0.616;1.661;0;1;1;71
MAT2324;20;6;34;5;0;0;0;0;0.81;1.367;0;1;1;71
MAT2326;20;6;34;6;0;0;0;0;0.586;1.823;0;1;1;71
MAT2328;20;6;34;4;0;0;0;0;1.195;-0.101;0;1;1;71
MAT2331;18;8;45;3;0;0;0;0;1.167;-1.784;0;1;1;122
MAT2332;20;6;34;6;0;0;0;0;0.539;2.371;0;1;1;71
MAT2335;20;6;34;5;0;0;0;0;0.914;-0.681;0;1;1;71
MAT2336;18;6;30;3;0;0.01;0.46;0.52;1.832;-1.256;0;1;1;118
MAT2337;18;6;44;3;0;0.01;0.47;0.51;2.876;-1.527;0;0.154911;1;111
MAT2338;20;12;43;3;0;0;0;0;1.138;-0.496;0;1;1;2
MAT2339;18;6;34;3;0;0.03;0.49;0.37;0.841;-0.694;0;1;1;71
MAT234;20;6;34;3;0;0.02;0.47;0.59;2.18;-0.983;0;0.133285;1;71
MAT2341;19;9;32;4;3;0.01;0.29;0.21;1.186;-1.007;0;1;1;56
MAT2343;20;6;30;3;2;0.01;0.39;0.36;0.74;-0.185;0;1;1;61
MAT2344;20;6;35;6;2;0.05;0.35;0.27;1.229;0.104;0;1;1;82
MAT2351;20;9;33;5;0;0.03;0.35;0.26;0.498;1.275;0;1;1;58
